#,Name,Value,Description,Package,Manufacture,Manufacturer Part Number,Designator,Qty,Type,,
43,Chip Resistor,0.1,1% 3W,R2512,Bourns,CRA2512-FZ-R100ELF,"R19, R20, R21, R22, R25, R26, R27, R28",8,SMD,,
44,Chip Resistor,4.7k,5% 1/10W,R0603,YAGEO,AC0603JR-074K7L,R2,1,SMD,,
45,Chip Resistor,5.1k,±0.5% 0.1W,R0603,YAGEO,RC0603FR-075K1L,"R29, R30",2,SMD,,
46,Chip Resistor,13k,1％ 1/10W,R0603,YAGEO,RC0603FR-0713KL,R3,1,SMD,,
47,Chip Resistor,10K 1/10W,5% 1/10W,R0603,YAGEO,RC0603JR-0710KL,"R4, R12, R31, R32, R33, R34",6,SMD,,
48,Chip Resistor,3k,1％ 1/10W,R0603,YAGEO,RC0603FR-073KL,R5,1,SMD,,
49,Chip Resistor,750,1％ 1/10W,R0603,YAGEO,AC0603DR-07750RL,R6,1,SMD,,
50,Chip Resistor,100R,5% 1/10W,R0603,YAGEO,RC0603JR-07100RL,"R7, R8, R9, R10, R17, R18, R23, R24",8,SMD,,
51,Tactile Switch,,SWITCH-SPST,4.6x3.2,ALPS Electric,SKRPABE010,RESET,1,SMD,,
52,Array Chip Resistor,330,5% 1/16W,R0603 x4,Bourns,CAY16-331J4LF,"RN1, RN4, RN5",3,SMD,,
53,Array Chip Resistor,33,5% 1/16W,R0603 x4,Bourns,CAY16-330J4LF,RN2,1,SMD,,
54,Array Chip Resistor,49.9,1% 1/16W,R0603 x4,Bourns,CAY16-49R9F4LF,RN3,1,SMD,,
55,SMD-LED,Yellow,general LED yellow,LED-0603,Lite-On,LTST-C191KSKT,RX,1,SMD,,
56,Pin Header,10 pin,Cortex Debug Connector,1.27mm Pin Header 10P,Amphenol ICC,20021121-00010C4LF,SWD,1,SMD,,
57,TVS Diode Array,USBLC6-2SC6,STMicroelectronics  USBLC6,SOT23-6L,STMicroelectronics,USBLC6-2SC6,U1,1,SMD,,
58,DC-DC converter,,,HTSOP-J8,ROHM,BD9G341AEFJ-E2,U2,1,SMD,,
59,Voltage Regulator,LD1117S33,3.3V 0.8A,SOT223,STMicroelectronics,LD1117S33TR,U3,1,SMD,,
60,MCU,,,TQFP-48,Microchip,ATSAMD21G18A-AU,U4,1,SMD,,
61,Stepper Motor Driver,,,VFQFPN89,STMicroelectronics,POWERSTEP01TR,"U5, U6, U7, U8",4,SMD,,
62,USB Type C Connector,,USB - Type C Female 16 SMT,USB-C_USB2.0-TYPE-C,XKB Connectivity,U262-161N-4BVC11,USB1,1,THT,,
63,Barrier Terminal Block,"7.62mm, 2P",,7.62mm,Ningbo Kangnex Elec,WJ25C-B-7.62-2P,X1,1,SMD,,
64,Crystal Resonators ,25MHz,25MHz ±20ppm12pF,CRYSTAL-3225,Yangxing Tech,X322525MOB4SI,X2,1,SMD,,updated
65,RJ45 Jack with Magnetics,,,,Hanrun,HR871181A,X3,1,THT,,
